iter	Passed	Remaining
686	6824	13043
687	6835	13035
688	6844	13024
689	6854	13014
690	6864	13003
691	6875	12995
692	6884	12984
693	6894	12975
694	6904	12964
695	6914	12954
696	6923	12943
697	6932	12932
698	6943	12923
699	6953	12914
700	6964	12905
701	6973	12893
702	6982	12883
703	6992	12872
704	7002	12862
705	7011	12851
706	7022	12842
707	7032	12832
708	7041	12821
709	7050	12810
710	7061	12801
711	7070	12791
712	7079	12778
713	7088	12767
714	7099	12758
715	7108	12747
716	7119	12739
717	7129	12730
718	7139	12719
719	7148	12708
720	7157	12696
721	7167	12686
722	7176	12674
723	7184	12662
724	7194	12652
725	7202	12639
726	7211	12628
727	7220	12616
728	7229	12604
729	7237	12591
730	7245	12578
731	7254	12567
732	7264	12556
733	7273	12545
734	7282	12533
735	7291	12522
736	7299	12509
737	7310	12500
738	7319	12490
739	7329	12479
740	7338	12467
741	7347	12457
742	7357	12446
743	7366	12436
744	7382	12436
745	7418	12469
746	7431	12465
747	7456	12479
748	7473	12482
749	7487	12479
750	7498	12470
751	7508	12461
752	7521	12456
753	7531	12446
754	7542	12437
755	7551	12425
756	7560	12414
757	7570	12404
758	7577	12389
759	7589	12382
760	7598	12371
761	7608	12361
762	7617	12349
763	7625	12336
764	7634	12325
765	7643	12313
766	7652	12302
767	7661	12290
768	7669	12277
769	7679	12266
770	7688	12255
771	7699	12246
772	7708	12235
773	7719	12227
774	7728	12215
775	7736	12202
776	7744	12190
777	7753	12178
778	7763	12168
779	7772	12157
780	7782	12146
781	7790	12134
782	7799	12123
783	7808	12110
784	7816	12098
785	7825	12086
786	7834	12074
787	7843	12063
788	7851	12050
789	7859	12038
790	7867	12025
791	7876	12013
792	7884	12001
793	7893	11989
794	7903	11979
795	7912	11967
796	7920	11955
797	7931	11946
798	7941	11936
799	7949	11923
800	7957	11911
801	7966	11899
802	7976	11890
803	7985	11879
804	7995	11869
805	8004	11858
806	8014	11847
807	8025	11838
808	8034	11828
809	8045	11819
810	8055	11810
811	8090	11836
812	8109	11839
813	8122	11834
814	8133	11826
815	8153	11829
816	8167	11825
817	8177	11816
818	8186	11805
819	8195	11793
820	8204	11782
821	8212	11769
822	8221	11758
823	8230	11746
824	8239	11734
825	8247	11722
826	8257	11711
827	8266	11701
828	8275	11689
829	8286	11680
830	8295	11669
831	8304	11658
832	8311	11644
833	8321	11633
834	8331	11624
835	8340	11613
836	8349	11601
837	8358	11590
838	8367	11578
839	8376	11567
840	8384	11555
841	8393	11543
842	8403	11533
843	8412	11522
844	8421	11511
845	8429	11499
846	8438	11486
847	8446	11473
848	8455	11462
849	8464	11451
850	8472	11439
851	8479	11425
852	8489	11415
853	8499	11405
854	8509	11395
855	8517	11383
856	8526	11371
857	8534	11359
858	8543	11348
859	8552	11337
860	8560	11324
861	8568	11312
862	8578	11302
863	8587	11291
864	8596	11279
865	8605	11268
866	8614	11257
867	8624	11247
868	8633	11235
869	8641	11223
870	8649	11211
871	8658	11200
872	8667	11189
873	8675	11177
874	8684	11165
875	8694	11156
876	8704	11146
877	8714	11136
878	8723	11125
879	8733	11115
880	8745	11108
881	8756	11100
882	8778	11105
883	8788	11094
884	8811	11101
885	8822	11093
886	8831	11081
887	8841	11071
888	8853	11064
889	8861	11052
